id,order_id,address_type,line1,city,region,postal_code,country_code
5f351f3a-cf5c-4042-b29a-00338e177a27,34b8044b-f532-4932-ab91-df5268c93576,shipping,3269 Tran Lights Apt. 307,East Tina,MD,22456,US
d27059e3-5636-48c6-b2f1-41b2a0c3d096,34b8044b-f532-4932-ab91-df5268c93576,billing,990 Kristen Bypass Suite 431,Jessicaberg,OH,88312,US
fe20708b-1ff1-449a-a544-9baf9a3128f6,aa9c2cba-5598-4a03-b3c5-0cfee41519c8,shipping,12204 Perez Burg,South Pam,PR,08023,US
30424c1d-cc68-4087-abc6-72b5770fe3d9,9d651c23-4935-440a-993c-3f32b9919895,shipping,2116 Elizabeth Park Suite 301,North Stephen,VA,53171,US
84b87ad8-ba7c-49cd-b56c-2470f466d28b,581d22a6-f3ad-44bc-ab9a-74b0230ce126,shipping,480 Diana Islands Apt. 210,Lake Janetchester,SD,93543,US
4641933f-563b-4ed4-b346-d0cfbdd5db4f,ca57856a-5cbf-4707-b858-eee7c26acbcd,shipping,869 Suzanne Garden,South Michael,NH,89623,US
44040a9f-c42f-4a15-9d95-5f74e379c82b,c404ee8d-f8e7-4020-9c0e-993a0b738e08,shipping,1483 Joshua Squares Suite 964,Dennisborough,OH,22029,US
89c7b2fa-5d5b-414a-9952-0add495fccf6,4e30ae81-4a11-48c0-8010-72dc7fe7ed59,shipping,32731 Amy Road,South Mark,IN,50859,US
bfe1c51c-a55b-4201-b0bd-a88feff24846,bd5e3568-9468-4e7e-9f15-13d8f2ec17c7,shipping,9387 Arellano Groves,Anthonyshire,VT,20718,US
a05de498-b689-4b54-8487-e836a3ad0106,bd5e3568-9468-4e7e-9f15-13d8f2ec17c7,billing,826 Bobby Shores,Jasonfurt,MH,40840,US
81102ef2-b6a6-4104-bd7d-ab25a65de579,f2405ee7-52f4-4a9e-8820-248609978a83,shipping,46931 Howell Mall Suite 673,New Terrymouth,IN,63914,US
3125cc25-baa3-48e9-8f8f-0636eab05fd7,f2405ee7-52f4-4a9e-8820-248609978a83,billing,4137 Case Views,Brownside,AK,99748,US
4a5e2917-239d-4599-854b-6e325f357f24,fbbea6a7-576b-4f86-bc69-696831f3f3e3,shipping,7559 Ronald Brook,East Monique,NY,53005,US
8c229631-00e4-429c-b74e-f1f59c658836,142e93fd-4251-47c6-8f95-b6b8fd7228d5,shipping,98603 Howell Point,South Jessica,AZ,69568,US
d5cee42e-b580-4ece-bf81-bbf8ff0d5418,1e6a3dc0-b9fd-4017-9b25-40a67016957e,shipping,827 Ashley Stravenue Apt. 352,Toddmouth,AK,94045,US
c37d6a00-bc01-4adc-81fb-4003e4f1bd5f,d8631820-6427-45e1-b520-8123688f1f93,shipping,46185 Goodwin Landing Apt. 115,Bellmouth,HI,35138,US
ea222998-616b-4027-84c9-fb805bde3303,eb076421-168c-40e6-9748-0b3232b99af1,shipping,10545 Copeland Fields,South Terriville,MH,02557,US
8a3f4da5-fa97-4f30-8b67-7ac0df8dee60,eb076421-168c-40e6-9748-0b3232b99af1,billing,484 Krause Terrace,Wisefurt,NJ,86820,US
056eef92-b8bd-4e4e-b4f1-faf2d8c42830,36a19837-ddeb-4b38-a9a9-8da73c91b26d,shipping,984 Rebecca Gardens Apt. 480,Port Elizabeth,LA,37669,US
24f391d6-b692-461b-ad9d-fa9380395327,c1a27c06-18ae-4057-b12f-5195f0da654d,shipping,4411 Cooley Inlet Apt. 688,West Deborahbury,MN,54849,US
57606628-286b-4820-b405-73d0761eda5f,b994b1db-2e67-4277-9bba-8b19120f8fc8,shipping,3030 Carr Brooks Apt. 761,Vincentton,PR,95989,US
6985bc87-ad87-4308-bbe9-0acbe44edc82,1f8086ac-08a4-47ce-9b18-ac655929024b,shipping,671 Lisa Square,North Staceyshire,KY,59762,US
13a8442d-bc8a-42e1-b72a-eeea24ea090a,c9263372-ad12-48ae-8f4f-515ff5b82a98,shipping,4029 Sara Via Suite 657,West Joann,OR,11899,US
451e9599-1379-44c7-a226-d71b3ba25074,6f18dc7c-0b74-47b8-8b85-8f430536f8c0,shipping,432 Lindsey Oval,Fitzgeraldbury,NC,29809,US
40cf5b48-12e8-45aa-9411-ba8c693f426d,54eb1721-5d0e-4958-a3cd-a517322df5e1,shipping,11453 David Glen,East Michael,AL,65249,US
ecec15cc-0cbf-445c-bad6-ff2d86c1c086,b369c1c1-200a-4887-9048-4fdf300b6d9b,shipping,18152 James Harbors,Johnland,FL,39693,US
0c794295-4306-434f-94bb-dc5702246020,b369c1c1-200a-4887-9048-4fdf300b6d9b,billing,12738 Johnathan Forge,Christopherhaven,PR,55008,US
85c18282-234c-481c-a7b9-36163357ef4c,f44c8bbc-b78b-437f-aaa1-35375e5f2895,shipping,7756 Hernandez Court Apt. 724,Alvarezberg,NJ,42298,US
57f49b3a-4470-4018-980a-1b9cc0427348,4e7541c1-06b8-4eab-bf29-4f2bc47c974f,shipping,51184 Green Garden,Jasontown,NY,83927,US
4febdd21-35c3-4b52-ada0-5d8d79781b34,da9d695a-2ac5-4f4f-90be-86420e86f119,shipping,961 Perez Courts Suite 262,North Kimberlybury,ID,54020,US
f7039a8d-1358-47a0-8c06-60ab310ecc92,8d09a4a2-a35b-4d1e-bce4-58611b53a7a9,shipping,3674 Sanders Meadows Suite 352,North Kimberly,OK,53175,US
c9086480-f8a6-406d-a26e-ede36c68dfc9,a29f5ae9-186d-45cc-baae-e0bd96ebd5e1,shipping,0897 Ramirez Expressway,Taylorchester,WI,15512,US
9bcd7e6e-0836-4608-a260-da5fdab1129d,3af5f001-a231-48ec-a42c-d464a84ab2ff,shipping,8013 Kyle Centers,Laurenhaven,AZ,78337,US
3bdaa401-cde2-44f0-830e-142e47d4b655,b50e044f-cab8-447a-9ee6-3e54cd5a563d,shipping,5455 Stacey Ports Apt. 006,Smithland,VT,60596,US
51217479-f7f7-498e-a94d-68815c71204f,01b232bf-ae2d-4ee0-aaac-37f45a197f39,shipping,89827 Williams Roads,North Courtneyberg,NH,88263,US
a3b4f68d-65d1-4e49-ae12-ef351d1adb5a,e09c5300-1ea1-4a38-bd16-ddaaeb28f069,shipping,321 Hubbard Estate,Port Christopherton,ND,02694,US
d6370d07-2cfe-4b8c-9191-84b87353e7ee,a2038761-418d-4084-a1b0-6c615ec135c5,shipping,5184 Brown Ferry,Joshuamouth,DE,61470,US
decc4f27-71c4-4d4b-9920-8b94e6721ae0,d450652f-f18b-4111-8ff0-994984e0fa18,shipping,3470 Benjamin Mountains Suite 534,Lake Sabrinaside,KS,01682,US
77336cfc-65a5-4227-b35b-f37db89b1bc9,5517adae-807f-482b-9972-cf050d0b9f9f,shipping,249 Jeffrey Shoal Apt. 827,North Danielle,FL,35700,US
6c32d224-7e16-49e1-9608-cf9fc45d3d45,d639ef5c-7218-4777-b052-e48b8bae6dc7,shipping,371 Mitchell Pike,Port Stefanie,NH,82644,US
3abcfda3-8c66-4eaf-81b5-46e2929ef67b,cefb6a9a-f49e-4acf-8ae5-20a0485df33e,shipping,597 Frederick Turnpike,Williamschester,NC,29927,US
b8a6cabe-55ab-46a6-ab20-2cfca93db530,4d07cbab-5642-4847-adfc-dd6a0f9c358f,shipping,99085 Veronica Green Suite 585,New Laura,ID,95473,US
2199ca17-33ae-4820-b2ea-0b0ca6953337,3059d904-8013-47a4-8bac-63d0372bb9c1,shipping,53302 Peter Throughway Suite 535,South Zachary,WI,79681,US
5e83cd86-7085-468a-9bfa-6884855156b9,ab84870d-f569-4db7-a212-0d7af37a328e,shipping,7784 Sandy Street,Port Mitchellville,VT,58272,US
b1013c4a-9070-4900-b4ce-b527381f243d,ab84870d-f569-4db7-a212-0d7af37a328e,billing,098 Angela Locks Apt. 141,North John,ID,84276,US
0af41207-aa0a-48f9-a313-4efef6473fca,e73b3d66-4bec-4b42-b257-69be143c4ffb,shipping,67714 Rita Forks,East Robert,MI,65187,US
07144748-68aa-43fa-b096-cf9048e138c5,15a4996a-14a0-49a4-8e6e-c47ed566a7a7,shipping,628 Jade Walks,New Jennifer,CA,52737,US
0a84584a-1fec-4012-b55c-bd283f02cd90,42dd10f2-9ba3-4c37-a4bf-afd05616511a,shipping,63510 Debbie Radial Suite 375,West Angelica,HI,61946,US
d0d4310c-f0d6-4805-b9f7-605bedf90537,42dd10f2-9ba3-4c37-a4bf-afd05616511a,billing,636 Kevin Meadow Suite 033,Bellville,NY,49721,US
3ccfa7cd-861c-4bd0-811a-766ffdfccc4b,911d75b9-1cdb-4186-abaa-00dfddb0ed9e,shipping,3906 Sampson Prairie,Chrisburgh,PA,78077,US
11f7f6f0-ca75-4fd2-b197-6e41c6d523af,75df6f04-fdbe-46fd-8b4e-fa71a9a81637,shipping,135 Gonzales Plain,Mercerstad,GA,87567,US
eee7b0f2-3911-49e3-a685-8cf1674e799c,daf4bb19-90ab-4761-83ce-7dfc5550cf6b,shipping,0688 Robinson Shores,Nicholasport,WY,54296,US
a30127d4-786e-4716-9f7d-c62f1418147f,0b1ff8ea-9937-446e-81e4-37eb2a4389e1,shipping,6403 Lori Flats,East Krystal,SC,82838,US
616eb3e0-9d50-4ae4-8e97-33290d424077,4358e9b8-35f6-4946-93aa-8fa97f464a60,shipping,72421 Gray Forest Suite 792,North Colinmouth,PW,97147,US
e6d44a9e-7915-48e1-a1a6-fce056ba055d,4358e9b8-35f6-4946-93aa-8fa97f464a60,billing,229 Reyes Square Apt. 379,Reillymouth,MO,08117,US
adb957fc-edd8-4b66-8772-1fb9cd558144,99c53d62-76c8-4ed1-b823-1a1dda072d33,shipping,975 Jennifer Parkway Suite 711,Stevensborough,RI,14115,US
47598cb2-b291-4452-9106-101031a1c0e6,bed1babd-9572-4b47-9e61-d89c9486f0f6,shipping,01096 Adams Heights Apt. 238,New Christopherville,GA,18254,US
2aa80215-b81f-4792-97d4-b9ba7cbef213,698fc565-d482-42e8-8fa3-e48822274dd6,shipping,482 Hall Heights Suite 746,Johnport,WI,27998,US
dca44d0b-6a51-414e-96f8-659fe70d2eb0,698fc565-d482-42e8-8fa3-e48822274dd6,billing,957 Elliott Groves Apt. 607,Port Nancyland,AK,86761,US
1a810f8c-632d-4595-a23b-b81e091d83d3,7f80db95-8f52-48a0-b340-1724c7321523,shipping,80320 William Pine,Scottville,WY,82501,US
56d08109-e91b-4c0b-b27b-c16d7013a9f9,00c24c48-2a9c-41e3-8c8a-8a8e9921b4b0,shipping,5318 Sue Junction Suite 574,Port Jacobchester,GU,07991,US
65563f69-56de-4c08-8016-b8b2d5852f38,b8fe392f-372a-4fd3-a78c-be36ec4ad977,shipping,5559 Cristian Heights,Smallton,UT,89685,US
